"time","sizeS","sizeM","sizeL"
-17.04,0.732182351579123,0.732182351579123,0.732182351579123
-17.03,0.732809738212918,0.732809738212918,0.732809738212918
-17.02,0.733436285203164,0.733436285203164,0.733436285203164
-17.01,0.734061991629151,0.734061991629151,0.734061991629151
-17,0.734686856570167,0.734686856570167,0.734686856570167
-16.99,0.7353108791055,0.7353108791055,0.7353108791055
-16.98,0.73593405831444,0.73593405831444,0.73593405831444
-16.97,0.736556393276275,0.736556393276275,0.736556393276275
-16.96,0.737177883070294,0.737177883070294,0.737177883070294
-16.95,0.737798526775787,0.737798526775787,0.737798526775787
-16.94,0.738418323472041,0.738418323472041,0.738418323472041
-16.93,0.739037272238346,0.739037272238346,0.739037272238346
-16.92,0.739655372153991,0.739655372153991,0.739655372153991
-16.91,0.740272622298264,0.740272622298264,0.740272622298264
-16.9,0.740889021750454,0.740889021750454,0.740889021750454
-16.89,0.74150456958985,0.74150456958985,0.74150456958985
-16.88,0.742119264895741,0.742119264895741,0.742119264895741
-16.87,0.742733106747416,0.742733106747416,0.742733106747416
-16.86,0.743346094224163,0.743346094224163,0.743346094224163
-16.85,0.743958226405272,0.743958226405272,0.743958226405272
-16.84,0.744569502370031,0.744569502370031,0.744569502370031
-16.83,0.745179921197729,0.745179921197729,0.745179921197729
-16.82,0.745789481967654,0.745789481967654,0.745789481967654
-16.81,0.746398183639796,0.746398183639796,0.746398183639796
-16.8,0.747006025193328,0.747006025193328,0.747006025193328
-16.79,0.747613005886732,0.747613005886732,0.747613005886732
-16.78,0.748219124982688,0.748219124982688,0.748219124982688
-16.77,0.748824381743877,0.748824381743877,0.748824381743877
-16.76,0.74942877543298,0.74942877543298,0.74942877543298
-16.75,0.750032305312679,0.750032305312679,0.750032305312679
-16.74,0.750634970645655,0.750634970645655,0.750634970645655
-16.73,0.751236770694589,0.751236770694589,0.751236770694589
-16.72,0.751837704722163,0.751837704722163,0.751837704722163
-16.71,0.752437771991057,0.752437771991057,0.752437771991057
-16.7,0.753036971763953,0.753036971763953,0.753036971763953
-16.69,0.753635303303532,0.753635303303532,0.753635303303532
-16.68,0.754232765872475,0.754232765872475,0.754232765872475
-16.67,0.754829358733464,0.754829358733464,0.754829358733464
-16.66,0.75542508114918,0.75542508114918,0.75542508114918
-16.65,0.756019932382304,0.756019932382304,0.756019932382304
-16.64,0.756613911695517,0.756613911695517,0.756613911695517
-16.63,0.7572070183515,0.7572070183515,0.7572070183515
-16.62,0.757799251612935,0.757799251612935,0.757799251612935
-16.61,0.758390610742503,0.758390610742503,0.758390610742503
-16.6,0.758981095002886,0.758981095002886,0.758981095002886
-16.59,0.759570703656763,0.759570703656763,0.759570703656763
-16.58,0.760159435966818,0.760159435966818,0.760159435966818
-16.57,0.760747291053166,0.760747291053166,0.760747291053166
-16.56,0.761334268083844,0.761334268083844,0.761334268083844
-16.55,0.761920366512684,0.761920366512684,0.761920366512684
-16.54,0.762505585795777,0.762505585795777,0.762505585795777
-16.53,0.763089925389217,0.763089925389217,0.763089925389217
-16.52,0.763673384749096,0.763673384749096,0.763673384749096
